algorithm,number of nodes,weight,run time
CR,10,227.03049841265485,0.0004536000778898597
CNN,10,257.0276399829808,0.0006934000412002206
CR,10,202.63211628349666,0.0004889999981969595
CNN,10,218.71774568887793,0.0007927999831736088
CR,10,202.63211628349666,0.00046449992805719376
CNN,10,218.71774568887793,0.0006832999642938375
CR,10,211.38788193909275,0.00043189991265535355
CNN,10,216.8619173030135,0.000669600092805922
CR,10,204.59519662993137,0.00043610006105154753
CNN,10,222.27894728344438,0.0007767999777570367
CR,10,220.40521653925023,0.0006086999783292413
CNN,10,222.25678422681816,0.0008623999310657382
CR,10,244.43283314958242,0.0006426000036299229
CNN,10,257.3669713502524,0.0009682000381872058
CR,10,214.00010753384132,0.0006596000166609883
CNN,10,348.6482132997385,0.0009487000061199069
CR,10,244.43283314958242,0.0006312999175861478
CNN,10,257.3669713502524,0.001018499955534935
CR,10,243.27320115149038,0.0006117000011727214
CNN,10,366.4696860986264,0.0008622000459581614
CR,10,151.99624856113815,0.0005248000379651785
CNN,10,151.99624856113815,0.0006790000479668379
CR,10,150.26223098029035,0.0005315999733284116
CNN,10,150.26223098029035,0.0005910999607294798
CR,10,170.17475426934837,0.0005348999984562397
CNN,10,184.37848958180498,0.0007243000436574221
CR,10,151.99624856113817,0.0005228999070823193
CNN,10,151.99624856113817,0.0006773000350221992
CR,10,151.99624856113815,0.0005555999232456088
CNN,10,151.99624856113815,0.0006617999169975519
CR,10,256.1594111394262,0.0005354000022634864
CNN,10,266.15939336640747,0.0008685000939294696
CR,10,278.02559221009693,0.0005538000259548426
CNN,10,292.3904152918126,0.0008017000509425998
CR,10,238.54503364364163,0.0005356000037863851
CNN,10,259.85973570732443,0.0008379999781027436
CR,10,241.39063993675856,0.0005338999908417463
CNN,10,395.63783410053793,0.0008139000274240971
CR,10,241.3906399367585,0.0005210000090301037
CNN,10,277.19742026767096,0.0007649000035598874
CR,10,221.4230544422689,0.0004034999292343855
CNN,10,231.8377392483473,0.0007935999892652035
CR,10,182.50563872497963,0.00043080002069473267
CNN,10,201.82281861923144,0.0005852000322192907
CR,10,223.05510691056915,0.00039190007373690605
CNN,10,376.698977784514,0.000584400026127696
CR,10,221.4230544422689,0.0005004999693483114
CNN,10,231.8377392483473,0.0007204000139608979
CR,10,223.05510691056918,0.00039329996798187494
CNN,10,223.05510691056918,0.0005996000254526734
CR,10,189.6502634899235,0.0004798000445589423
CNN,10,245.06584325572132,0.0008341000648215413
CR,10,261.5047600506718,0.0004848999669775367
CNN,10,252.96212006095143,0.0007134999614208937
CR,10,218.37454555158368,0.00048269995022565126
CNN,10,229.220125868003,0.000726899947039783
CR,10,218.37454555158368,0.0005837999051436782
CNN,10,229.220125868003,0.0007028999971225858
CR,10,189.6502634899235,0.0004646000452339649
CNN,10,245.06584325572132,0.0007079000351950526
CR,10,128.38612896356904,0.0002891001058742404
