algorithm,number of nodes,k,weight,run time
CR,50,5,1687.8217036078222,0.014989300048910081
CNN,50,5,1687.8217036078222,0.017141500022262335
CR,50,5,1864.2819624582,0.014824199955910444
CNN,50,5,1921.5539709009327,0.019957800046540797
CR,50,5,1933.1723555092876,0.014804599923081696
CNN,50,5,1955.8109509083258,0.019660800113342702
CR,50,5,1685.3165657773716,0.015255799982696772
CNN,50,5,1685.3165657773716,0.017744799959473312
CR,50,5,1698.3824679679694,0.015051100053824484
CNN,50,5,1698.3824679679694,0.01739409996662289
CR,50,5,1504.5878886295206,0.009410600061528385
CNN,50,5,1504.5878886295206,0.011612200061790645
CR,50,5,1510.3197451426893,0.009327000007033348
CNN,50,5,1510.3197451426893,0.011812099954113364
CR,50,5,1447.9822423149662,0.009263399988412857
CNN,50,5,1447.9822423149662,0.011921000084839761
CR,50,5,1499.7103828941454,0.009352299966849387
CNN,50,5,1499.7103828941454,0.011654699919745326
CR,50,5,1459.8607398208583,0.009297700016759336
CNN,50,5,1459.8607398208583,0.011668600025586784
CR,50,5,1563.9257902423026,0.010081999935209751
CNN,50,5,1563.9257902423026,0.012321199988946319
CR,50,5,1585.357671223535,0.009796599973924458
CNN,50,5,1585.357671223535,0.012126199901103973
CR,50,5,1555.4659265334246,0.00970180006697774
CNN,50,5,1555.4659265334246,0.012072499957866967
CR,50,5,1572.377007600765,0.00974920007865876
CNN,50,5,1572.377007600765,0.012028099969029427
CR,50,5,1571.832787005107,0.00962000002618879
CNN,50,5,1571.832787005107,0.012160200043581426
CR,50,5,1650.3875637220237,0.00964529998600483
CNN,50,5,1650.3875637220237,0.012050900026224554
CR,50,5,1626.4913973977825,0.009516200050711632
CNN,50,5,1626.4913973977825,0.012054899940267205
CR,50,5,1626.7683868491429,0.009575900039635599
CNN,50,5,1626.7683868491429,0.012042699963785708
CR,50,5,1650.3875637220235,0.009573800023645163
CNN,50,5,1650.3875637220235,0.011952699976973236
CR,50,5,1626.7683868491429,0.009501599939540029
CNN,50,5,1626.7683868491429,0.01195950002875179
CR,50,5,1378.048058777386,0.006445999955758452
CNN,50,5,1378.048058777386,0.008742300095036626
CR,50,5,1364.678035371272,0.006377400015480816
CNN,50,5,1364.678035371272,0.00864949997048825
CR,50,5,1382.0317882692523,0.00631579989567399
CNN,50,5,1382.0317882692523,0.008640600019134581
CR,50,5,1365.6878889128523,0.006437800009734929
CNN,50,5,1365.6878889128523,0.00859029998537153
CR,50,5,1361.060050616067,0.006555100088007748
CNN,50,5,1361.060050616067,0.009050799999386072
CR,50,5,1587.8407790067758,0.013162799994461238
CNN,50,5,1587.8407790067758,0.015474700019694865
CR,50,5,1624.0125521671393,0.013301099999807775
CNN,50,5,1624.0125521671393,0.015316499979235232
CR,50,5,1576.1314280979605,0.013036400079727173
CNN,50,5,1576.1314280979605,0.015650799963623285
CR,50,5,1624.8884801100253,0.012930999975651503
CNN,50,5,1624.8884801100253,0.015359999961219728
CR,50,5,1592.0200884159567,0.013058700016699731
CNN,50,5,1592.0200884159567,0.01550479989964515
CR,50,5,1711.8282105171918,0.013561500003561378
CNN,50,5,1711.8282105171918,0.01619990007020533
CR,50,5,1704.2942919504617,0.01368410000577569
CNN,50,5,1704.2942919504617,0.016143099986948073
CR,50,5,1713.242952938277,0.013792800018563867
CNN,50,5,1713.242952938277,0.01603369996882975
CR,50,5,1718.4565759860038,0.01362340000923723
CNN,50,5,1718.4565759860038,0.01591069996356964
CR,50,5,1689.231250276603,0.013611900038085878
CNN,50,5,1689.231250276603,0.0160488000838086
CR,50,5,1750.011728082956,0.007746999966911972
CNN,50,5,1862.260278321472,0.012440500082448125
CR,50,5,1657.3876117327486,0.007723699905909598
CNN,50,5,1687.9349784772694,0.012536900001578033
CR,50,5,1732.771026583504,0.0077818999998271465
CNN,50,5,1732.9053977263643,0.012428199988789856
CR,50,5,1802.529975095088,0.007769499905407429
CNN,50,5,1840.5816473728225,0.012321599991992116
CR,50,5,1710.6935888890205,0.0077306999592110515
CNN,50,5,1749.8337154977594,0.012546100071631372
CR,50,5,1447.8430604005,0.00580939999781549
CNN,50,5,1447.8430604005,0.008054699981585145
CR,50,5,1437.3264794155882,0.005704900017008185
CNN,50,5,1437.3264794155882,0.007978599984198809
CR,50,5,1438.455359104748,0.006003699963912368
CNN,50,5,1438.455359104748,0.008013800019398332
CR,50,5,1437.3264794155887,0.0057240999303758144
CNN,50,5,1437.3264794155887,0.008372599957510829
CR,50,5,1437.326479415589,0.00583920010831207
CNN,50,5,1437.326479415589,0.008219999959692359
CR,50,5,1540.1112050424724,0.01721610000822693
CNN,50,5,1540.1112050424724,0.019493800005875528
CR,50,5,1554.1024984997407,0.01715659990441054
CNN,50,5,1554.1024984997407,0.019667599932290614
CR,50,5,1550.6777739810223,0.017064200015738606
CNN,50,5,1550.6777739810223,0.019227899960242212
CR,50,5,1550.6777739810225,0.017095900024287403
CNN,50,5,1550.6777739810225,0.01934550004079938
CR,50,5,1550.6777739810225,0.01729960006196052
CNN,50,5,1550.6777739810225,0.019350199960172176
CR,50,5,1432.2208370626158,0.007700500078499317
CNN,50,5,1432.2208370626158,0.010127099929377437
CR,50,5,1419.0862025421104,0.007636600057594478
CNN,50,5,1419.0862025421104,0.010023599956184626
CR,50,5,1447.3415687242152,0.007633600034750998
CNN,50,5,1447.3415687242152,0.009889499982818961
CR,50,5,1434.1515105606557,0.007542300038039684
CNN,50,5,1434.1515105606557,0.010017999913543463
CR,50,5,1378.48021543804,0.007611499982886016
CNN,50,5,1378.48021543804,0.009820900042541325
CR,50,5,1603.2085860805407,0.01372709998395294
CNN,50,5,1618.7617030366264,0.018425900023430586
CR,50,5,1779.8759778733975,0.013751500053331256
CNN,50,5,1790.242271997718,0.018579800031147897
CR,50,5,1508.7429761318606,0.013760900008492172
CNN,50,5,1508.7429761318606,0.01602380000986159
CR,50,5,1569.6466171488603,0.013864499982446432
CNN,50,5,1628.0987479948044,0.01860770001076162
CR,50,5,1662.5401146440827,0.013811099925078452
CNN,50,5,1685.2088143410344,0.018534400034695864
CR,50,5,1632.465197829722,0.00748820009175688
CNN,50,5,1632.465197829722,0.010024599963799119
CR,50,5,1656.8862685687816,0.0074760999996215105
