algorithm,number of nodes,weight,run time
CR,50,2887.325786077085,0.010977600002661347
CNN,50,2750.9235385470224,0.05840340000577271
CR,50,2857.9761189627284,0.01040679996367544
CNN,50,2775.571223714948,0.06373920000623912
CR,50,3015.2820129487045,0.010269299964420497
CNN,50,2744.3092950620967,0.048954500001855195
CR,50,2787.935481733387,0.010294800042174757
CNN,50,3825.209232332111,0.05197309993673116
CR,50,2819.9145974999574,0.010357599938288331
CNN,50,2591.977330110719,0.056745899957604706
CR,50,3034.452819035618,0.006243300042115152
CNN,50,4125.34388198537,0.06937559996731579
CR,50,2843.5573459664306,0.00627020001411438
CNN,50,3914.404304505663,0.04607620008755475
CR,50,2708.7086803258308,0.006250399979762733
CNN,50,2556.406493802118,0.060300199897028506
CR,50,2881.219447042887,0.006201699958182871
CNN,50,3950.9184459034095,0.04880690004210919
CR,50,3399.4791869250794,0.006212700041942298
CNN,50,2909.840335156312,0.06563610001467168
CR,50,2801.4399560966986,0.01265010004863143
CNN,50,3749.971213142054,0.06003129994496703
CR,50,3222.8590692064677,0.012610899982973933
CNN,50,2745.913216056233,0.07550109992735088
CR,50,3020.7824171718994,0.012615100014954805
CNN,50,3779.7747778747885,0.05473900004290044
CR,50,2879.0411114690496,0.012638700078241527
CNN,50,2564.696812222645,0.06976099999155849
CR,50,3001.293758040445,0.012549999984912574
CNN,50,3500.653719713916,0.07824349997099489
CR,50,2609.8588867668313,0.007228799979202449
CNN,50,2441.732660391667,0.05764439993072301
CR,50,2617.0985456665267,0.007351700100116432
CNN,50,2317.7796047071115,0.04169619991444051
CR,50,2344.239331462571,0.007396899978630245
CNN,50,2218.2253267065403,0.04424960003234446
CR,50,2548.942589029367,0.00734419992659241
CNN,50,2271.7407244532833,0.0449949000030756
CR,50,2467.661847113233,0.0073342000832781196
CNN,50,2485.828714254106,0.04645559994969517
CR,50,3266.549424653682,0.011625799932517111
CNN,50,4204.3193031090905,0.08198030001949519
CR,50,3261.6979286723135,0.011379000032320619
CNN,50,2869.8904983738335,0.11462329991627485
CR,50,2920.693479317518,0.011394300032407045
CNN,50,4035.23419591617,0.09262869996018708
CR,50,3276.962407096924,0.011521400068886578
CNN,50,2890.1313304035657,0.09583670005667955
CR,50,3043.549168449859,0.011651200009509921
CNN,50,2811.048132470829,0.10187829995993525
CR,50,3548.6253175747142,0.016444000066258013
CNN,50,2565.0684462917784,0.12257420003879815
CR,50,3328.47560633139,0.01640449999831617
CNN,50,4508.286285289115,0.05473930004518479
CR,50,3735.9233263419083,0.01633040001615882
CNN,50,4446.484029855487,0.05538569996133447
CR,50,3278.6220045964606,0.01669630000833422
CNN,50,2754.559763306374,0.07397079991642386
CR,50,3676.0907182095816,0.01662350003607571
CNN,50,2676.2506640452125,0.07763089996296912
CR,50,3709.47471509369,0.009851000038906932
CNN,50,3010.2664798864766,0.08508819993585348
CR,50,4282.052911832349,0.009903800091706216
CNN,50,3046.8901607552316,0.0919933000113815
CR,50,3048.899895680528,0.009785800008103251
CNN,50,2936.0380456584317,0.05599589995108545
CR,50,3381.7796746768286,0.009822599939070642
CNN,50,2775.9500323925085,0.056608499959111214
CR,50,3287.8942961583516,0.009753599995747209
CNN,50,2838.1098563106443,0.05567879998125136
CR,50,3065.2984210992654,0.014264700002968311
CNN,50,2468.611849632825,0.0725780000211671
CR,50,3289.847344737289,0.014149100054055452
CNN,50,2506.0862828731933,0.07616169995162636
CR,50,2996.4209331360767,0.014178800047375262
CNN,50,2477.191184470693,0.07075640000402927
CR,50,3128.356493044504,0.014193400042131543
